method,stage,metric,direction,mean,ci95_low,ci95_high,between_train_seed_sd,between_eval_seed_sd,train_seed_count,eval_seed_count,episodes_per_cell
vanilla_lstm_ppo,multi_hard,action_delta_mean,lower,4.781486895107022e-05,4.081756805854704e-05,5.541657176504543e-05,7.335379543807449e-06,1.4066441436597401e-06,3,3,5
vanilla_lstm_ppo,multi_extreme,coverage_rate,higher,0.06071428571428571,0.016666666666666666,0.11455026455026456,0.02867870073834072,0.007349309197401643,3,3,5
vanilla_lstm_ppo,multi_extreme,cover_latency_seconds,lower,3.353333333333334,0.010000000000000002,9.546749999999994,2.8551916650978866,3.0140038892550294,3,3,5
vanilla_lstm_ppo,multi_extreme,cover_latency_p90_seconds,lower,4.106222195095486,0.010000000000000002,11.932999877929689,3.7864487939794156,3.468111286555704,3,3,5
vanilla_lstm_ppo,multi_extreme,strict_response_sla_success_rate,higher,0.02433862433862434,0.0,0.060846560846560836,0.011482822441381326,0.016972502573910517,3,3,5
vanilla_lstm_ppo,multi_extreme,active_steam_mean,lower,3.4981041666666663,3.078824652777777,4.0281960069444445,0.3405490569011312,0.08486355725925175,3,3,5
vanilla_lstm_ppo,multi_extreme,action_delta_mean,lower,4.657092626866048e-05,3.991170017666795e-05,5.2764202387652723e-05,6.5175931218203124e-06,1.8820107329900388e-07,3,3,5
horizon2,multi_low,coverage_rate,higher,0.9187935865271795,0.9059978339698862,0.932106512296411,0.0,0.004025595321399103,0,3,5
horizon2,multi_low,cover_latency_seconds,lower,12.157531178711327,11.545519591506729,12.9787751000699,0.0,0.25521707063461635,0,3,5
horizon2,multi_low,cover_latency_p90_seconds,lower,23.71833363850912,22.09733356984457,25.676333719889325,0.0,1.304293866805779,0,3,5
horizon2,multi_low,strict_response_sla_success_rate,higher,0.1912696714977026,0.1624575509075648,0.22355041230475742,0.0,0.024871302913680976,0,3,5
horizon2,multi_low,active_steam_mean,lower,2.281625,2.2233119791666667,2.340396875,0.0,0.02402570238307318,0,3,5
horizon2,multi_low,action_delta_mean,lower,0.025488461590572564,0.024364862266354127,0.02650949511163846,0.0,0.0007401079136734027,0,3,5
horizon2,multi_realistic,coverage_rate,higher,0.8959465827699431,0.8827605213625118,0.9099209579226145,0.0,0.008763686243298029,0,3,5
horizon2,multi_realistic,cover_latency_seconds,lower,16.524169473157006,14.801911321398123,18.359479790175765,0.0,1.0027315159288677,0,3,5
horizon2,multi_realistic,cover_latency_p90_seconds,lower,29.449999796549477,26.386274688720704,33.53401650492349,0.0,2.376409738166467,0,3,5
horizon2,multi_realistic,strict_response_sla_success_rate,higher,0.13114602435663963,0.09396332047957301,0.1719828322087619,0.0,0.003200792394206134,0,3,5
horizon2,multi_realistic,active_steam_mean,lower,2.818104166666666,2.726207291666667,2.9185015625000004,0.0,0.04675761691514374,0,3,5
horizon2,multi_realistic,action_delta_mean,lower,0.025839254025637515,0.02482522396229174,0.026848960308130623,0.0,0.00044059225598781847,0,3,5
horizon2,multi_hard,coverage_rate,higher,0.869710100301625,0.8465162657113393,0.8942131742721072,0.0,0.019259057026597352,0,3,5
horizon2,multi_hard,cover_latency_seconds,lower,19.225678284299768,17.95834732951523,20.447436102023545,0.0,0.7785474514815388,0,3,5
horizon2,multi_hard,cover_latency_p90_seconds,lower,35.43833374023438,33.31265909830729,38.144508707682284,0.0,1.5648012980752177,0,3,5
