main_method,other_method,stage,metric,direction,main_mean,other_mean,delta_main_minus_other,delta_ci95_low,delta_ci95_high,p_value,p_value_holm_4_stages,main_better
ours,no_attention,multi_low,strict_response_sla_success_rate,higher,0.18145700227057324,0.180310713409187,0.0011462888613862354,-0.03531883901245182,0.03514428726493981,0.920053997300135,1.0,True
ours,no_attention,multi_low,active_steam_mean,lower,2.2980625,2.3075902777777775,-0.00952777777777758,-0.08503472222222187,0.056909895833333654,0.7863606819659017,1.0,True
ours,no_attention,multi_low,action_delta_mean,lower,0.025353604773400196,0.025602340876006786,-0.0002487361026065893,-0.0020563641657823485,0.001749035179902334,0.7830608469576521,1.0,True
ours,no_attention,multi_realistic,coverage_rate,higher,0.9006493850238878,0.905811427042175,-0.005162042018287183,-0.02451221990417379,0.015811230917641708,0.5785710714464277,1.0,False
ours,no_attention,multi_realistic,cover_latency_seconds,lower,16.04035205655089,16.241712710035983,-0.2013606534850929,-1.3935980664930057,0.9085460141249191,0.7423628818559072,1.0,True
ours,no_attention,multi_realistic,cover_latency_p90_seconds,lower,29.69588887532552,30.62133324517144,-0.9254443698459198,-4.811235824584964,3.0725720163980954,0.5893705314734263,1.0,True
ours,no_attention,multi_realistic,strict_response_sla_success_rate,higher,0.147353240386711,0.1415874847632303,0.005765755623480695,-0.03388983560626756,0.05789940962754091,0.8663566821658917,1.0,True
ours,no_attention,multi_realistic,active_steam_mean,lower,2.84025,2.8495624999999998,-0.009312499999999613,-0.08759166666666661,0.0657503472222217,0.8254587270636469,1.0,True
ours,no_attention,multi_realistic,action_delta_mean,lower,0.026077045711739653,0.0265435755403174,-0.00046652982857774486,-0.0020641476085294604,0.0014978307896822427,0.5549722513874307,1.0,True
ours,no_attention,multi_hard,coverage_rate,higher,0.8696093499821506,0.8838763937876406,-0.014267043805490043,-0.04840955410404456,0.025632532805724702,0.40057997100144993,1.0,False
ours,no_attention,multi_hard,cover_latency_seconds,lower,19.58663826266317,19.445902296089336,0.14073596657383192,-1.7755834127917223,2.4221939335797815,0.9302534873256337,1.0,False
ours,no_attention,multi_hard,cover_latency_p90_seconds,lower,38.102777845594616,36.46077752007378,1.6420003255208329,-3.6300414683024,8.319791649712453,0.6016699165041748,1.0,False
ours,no_attention,multi_hard,strict_response_sla_success_rate,higher,0.1272771988287098,0.12807313449626812,-0.0007959356675583118,-0.04319461689534313,0.04381074989753557,0.9650517474126293,1.0,False
ours,no_attention,multi_hard,active_steam_mean,lower,3.4913958333333333,3.420402777777778,0.07099305555555535,-0.060139409722222724,0.20195833333333324,0.2702864856757162,1.0,False
ours,no_attention,multi_hard,action_delta_mean,lower,0.027697294922070542,0.027247809783495787,0.0004494851385747553,-0.001867981818981721,0.0029958866665668713,0.6863656817159142,1.0,False
ours,no_attention,multi_extreme,coverage_rate,higher,0.8545737600631842,0.8390171754802093,0.01555658458297493,-0.022865916128432136,0.05238787732800112,0.4093795310234488,1.0,True
ours,no_attention,multi_extreme,cover_latency_seconds,lower,23.87839625483577,24.827933144562092,-0.9495368897263212,-4.007992094398961,2.810086521022528,0.5004749762511874,1.0,True
ours,no_attention,multi_extreme,cover_latency_p90_seconds,lower,46.012666625976564,49.31688910590279,-3.3042224799262243,-11.995399953206363,7.4319301774765725,0.3951802409879506,1.0,True
ours,no_attention,multi_extreme,strict_response_sla_success_rate,higher,0.10308932677866292,0.08567014438825718,0.01741918239040574,-0.012271410255699642,0.04534878027222167,0.21228938553072346,0.8491575421228938,True
ours,no_attention,multi_extreme,active_steam_mean,lower,3.806645833333334,3.7534791666666676,0.05316666666666636,-0.14629201388888918,0.2558687499999992,0.5990700464976751,1.0,False
ours,no_attention,multi_extreme,action_delta_mean,lower,0.028921679583132534,0.028699690550537657,0.000221989032594877,-0.0017282996843619566,0.003273332976469726,0.9717514124293786,1.0,False
ours,no_carry,multi_low,coverage_rate,higher,0.9171764399394717,0.9151074173546492,0.002069022584822555,-0.009389804829222479,0.017677083112782103,0.7897605119744012,1.0,True
ours,no_carry,multi_low,cover_latency_seconds,lower,12.535319995503887,12.972438430955428,-0.4371184354515414,-1.5165377980157786,0.6619682618845327,0.42297885105744715,1.0,True
ours,no_carry,multi_low,cover_latency_p90_seconds,lower,24.147111138237843,24.750333285861547,-0.6032221476237041,-3.246352959526914,1.8750190099080353,0.6391680415979201,1.0,True
ours,no_carry,multi_low,strict_response_sla_success_rate,higher,0.18145700227057324,0.16694152716582505,0.014515475104748182,-0.02658405825922031,0.05411501946454107,0.4327783610819459,1.0,True
ours,no_carry,multi_low,active_steam_mean,lower,2.2980625,2.313430555555556,-0.015368055555556204,-0.07181302083333295,0.039626562499999435,0.552472376381181,1.0,True
ours,no_carry,multi_low,action_delta_mean,lower,0.025353604773400196,0.025824031702883873,-0.000470426929483677,-0.0024480804544323312,0.0015346578712310663,0.6586670666466676,1.0,True
ours,no_carry,multi_realistic,coverage_rate,higher,0.9006493850238878,0.9029358178073595,-0.002286432783471737,-0.027625800277628752,0.021313707738109647,0.8536573171341433,1.0,False
ours,no_carry,multi_realistic,cover_latency_seconds,lower,16.04035205655089,15.726360552791721,0.3139915037591692,-0.840354288894758,1.4420895187903835,0.5479726013699315,1.0,False
ours,no_carry,multi_realistic,cover_latency_p90_seconds,lower,29.69588887532552,29.30622233072917,0.38966654459634853,-2.5441113620334193,3.932680521647134,0.8607569621518925,1.0,False
ours,no_carry,multi_realistic,strict_response_sla_success_rate,higher,0.147353240386711,0.146918985806886,0.0004342545798249886,-0.044781449341196176,0.04247025756100102,0.9691515424228788,1.0,True
ours,no_carry,multi_realistic,active_steam_mean,lower,2.84025,2.813673611111111,0.026576388888889024,-0.04610434027777709,0.10934045138888875,0.4913754312284386,1.0,False
ours,no_carry,multi_realistic,action_delta_mean,lower,0.026077045711739653,0.02625963903807075,-0.00018259332633109582,-0.0016055986479239018,0.0013311188740064014,0.7724613769311535,1.0,True
ours,no_carry,multi_hard,coverage_rate,higher,0.8696093499821506,0.8733127719864229,-0.0037034220042723165,-0.026320085801041053,0.020283877524658857,0.6982650867456627,1.0,False
ours,no_carry,multi_hard,cover_latency_seconds,lower,19.58663826266317,20.196866170463377,-0.6102279078002084,-2.9696431823580625,1.8965848746422205,0.576271186440678,1.0,True
ours,no_carry,multi_hard,cover_latency_p90_seconds,lower,38.102777845594616,39.29900000678168,-1.196222161187066,-7.547348500569653,5.931541052924242,0.6724663766811659,1.0,True
ours,no_carry,multi_hard,strict_response_sla_success_rate,higher,0.1272771988287098,0.13271622007245318,-0.005439021243743375,-0.04030881514691513,0.032155170412871525,0.7410629468526574,1.0,False
ours,no_carry,multi_hard,active_steam_mean,lower,3.4913958333333333,3.514430555555555,-0.023034722222221582,-0.18712517361111192,0.1517241319444448,0.7733613319334033,1.0,True
ours,no_carry,multi_hard,action_delta_mean,lower,0.027697294922070542,0.027355180852069408,0.00034211407000113436,-0.001324597752724741,0.0018377275327818602,0.5841707914604269,1.0,False
ours,no_carry,multi_extreme,coverage_rate,higher,0.8545737600631842,0.8483301026781933,0.006243657384990886,-0.02675085638536453,0.04295073979563685,0.7052647367631618,1.0,True
ours,no_carry,multi_extreme,cover_latency_seconds,lower,23.87839625483577,23.329868607128017,0.5485276477077541,-1.8758700564055562,3.271860423317144,0.672766361681916,1.0,False
ours,no_carry,multi_extreme,cover_latency_p90_seconds,lower,46.012666625976564,44.06577806260851,1.9468885633680557,-6.6072087554931676,11.608746743096214,0.6383680815959202,1.0,False
ours,no_carry,multi_extreme,strict_response_sla_success_rate,higher,0.10308932677866292,0.07834914314600412,0.0247401836326588,0.004312283711446086,0.04516529598493373,0.023298835058247088,0.09319534023298835,True
ours,no_carry,multi_extreme,active_steam_mean,lower,3.806645833333334,3.775756944444445,0.030888888888888744,-0.15207135416666834,0.2261319444444432,0.7291635418229089,1.0,False
ours,no_carry,multi_extreme,action_delta_mean,lower,0.028921679583132534,0.02937967463218871,-0.000457995049056175,-0.003412720860633447,0.0036199627925812307,0.6711664416779161,1.0,True
ours,no_prediction,multi_low,coverage_rate,higher,0.9171764399394717,0.9218259765570541,-0.004649536617582384,-0.024733060381451143,0.012105165965556117,0.5974701264936754,1.0,False
ours,no_prediction,multi_low,cover_latency_seconds,lower,12.535319995503887,13.021048458362484,-0.4857284628585976,-1.6905261327392531,0.6277616382771654,0.36598170091495424,1.0,True
ours,no_prediction,multi_low,cover_latency_p90_seconds,lower,24.147111138237843,24.751666632758244,-0.604555494520401,-3.9005911738077828,2.295272302415627,0.6699665016749162,1.0,True
ours,no_prediction,multi_low,strict_response_sla_success_rate,higher,0.18145700227057324,0.1778153754873443,0.003641626783228935,-0.03388424293459698,0.04360697407599223,0.8134593270336483,1.0,True
ours,no_prediction,multi_low,active_steam_mean,lower,2.2980625,2.3183125,-0.020250000000000323,-0.11748107638888923,0.0577711805555553,0.6372681365931704,1.0,True
ours,no_prediction,multi_low,action_delta_mean,lower,0.025353604773400196,0.02543210231422158,-7.849754082138449e-05,-0.0015585259614426968,0.0018415032487909336,0.8515574221288935,1.0,True
ours,no_prediction,multi_realistic,coverage_rate,higher,0.9006493850238878,0.9094657771439019,-0.00881639212001406,-0.035541017964602246,0.016089804828823547,0.4692765361731913,1.0,False
